Offset-Description                                                                   
0000 - Float             7FF4AE2BDA10 : 68.29986572    7FF4AFBE69F0 : 68.29986572    
0004 - 4 Bytes           7FF4AE2BDA14 : 1              7FF4AFBE69F4 : 1              
0008 - 4 Bytes           7FF4AE2BDA18 : 2922097056     7FF4AFBE69F8 : 2948478960     
000C - 4 Bytes           7FF4AE2BDA1C : 32756          7FF4AFBE69FC : 32756          
0010 - 4 Bytes           7FF4AE2BDA20 : 2953178816     7FF4AFBE6A00 : 0              
0014 - 4 Bytes           7FF4AE2BDA24 : 32756          7FF4AFBE6A04 : 0              
0018 - 4 Bytes           7FF4AE2BDA28 : 6542           7FF4AFBE6A08 : 4294967295     
001C - 4 Bytes           7FF4AE2BDA2C : 3              7FF4AFBE6A0C : 4294967295     
0020 - 4 Bytes           7FF4AE2BDA30 : 4294967295     7FF4AFBE6A10 : 4294967295     
0024 - 4 Bytes           7FF4AE2BDA34 : 0              7FF4AFBE6A14 : 0              
0028 - 4 Bytes           7FF4AE2BDA38 : 2922109528     7FF4AFBE6A18 : 2948491832     
002C - 4 Bytes           7FF4AE2BDA3C : 32756          7FF4AFBE6A1C : 32756          
0030 - 4 Bytes           7FF4AE2BDA40 : 0              7FF4AFBE6A20 : 1986350196     
0034 - 4 Bytes           7FF4AE2BDA44 : 0              7FF4AFBE6A24 : 1866689637     
0038 - 4 Bytes           7FF4AE2BDA48 : 5              7FF4AFBE6A28 : 5              
003C - 4 Bytes           7FF4AE2BDA4C : 0              7FF4AFBE6A2C : 0              
0040 - 4 Bytes           7FF4AE2BDA50 : 63             7FF4AFBE6A30 : 63             
0044 - 4 Bytes           7FF4AE2BDA54 : 0              7FF4AFBE6A34 : 0              
0048 - 4 Bytes           7FF4AE2BDA58 : 3276899        7FF4AFBE6A38 : 3145827        
004C - 4 Bytes           7FF4AE2BDA5C : 3276848        7FF4AFBE6A3C : 3145776        
0050 - 4 Bytes           7FF4AE2BDA60 : 49             7FF4AFBE6A40 : 48             
0054 - 4 Bytes           7FF4AE2BDA64 : 1              7FF4AFBE6A44 : 1              
0058 - 4 Bytes           7FF4AE2BDA68 : 48             7FF4AFBE6A48 : 48             
005C - Pointer           7FF4AE2BDA6C : P->417D980200007FF4AFBE6A4C : P->417D980200000000
0064 - 4 Bytes           7FF4AE2BDA74 : 1              7FF4AFBE6A54 : 1              
0068 - 4 Bytes           7FF4AE2BDA78 : 8              7FF4AFBE6A58 : 8              
006C - 4 Bytes           7FF4AE2BDA7C : 0              7FF4AFBE6A5C : 0              
0070 - 4 Bytes           7FF4AE2BDA80 : 1098417454     7FF4AFBE6A60 : 1098417454     
0074 - 4 Bytes           7FF4AE2BDA84 : 1              7FF4AFBE6A64 : 1              
0078 - 4 Bytes           7FF4AE2BDA88 : 1147387816     7FF4AFBE6A68 : 1147387816     
007C - 4 Bytes           7FF4AE2BDA8C : 1              7FF4AFBE6A6C : 1              
0080 - 4 Bytes           7FF4AE2BDA90 : 3288139481     7FF4AFBE6A70 : 2448679920     
0084 - 4 Bytes           7FF4AE2BDA94 : 1065353216     7FF4AFBE6A74 : 32756          
0088 - 4 Bytes           7FF4AE2BDA98 : 2922109424     7FF4AFBE6A78 : 2948491728     
008C - 4 Bytes           7FF4AE2BDA9C : 32756          7FF4AFBE6A7C : 32756          
0090 - 4 Bytes           7FF4AE2BDAA0 : 1147387816     7FF4AFBE6A80 : 1147387816     
0094 - 4 Bytes           7FF4AE2BDAA4 : 1              7FF4AFBE6A84 : 1              
0098 - 4 Bytes           7FF4AE2BDAA8 : 8              7FF4AFBE6A88 : 8              
009C - 4 Bytes           7FF4AE2BDAAC : 0              7FF4AFBE6A8C : 0              
00A0 - 4 Bytes           7FF4AE2BDAB0 : 1089044811     7FF4AFBE6A90 : 1089044811     
00A4 - 4 Bytes           7FF4AE2BDAB4 : 1              7FF4AFBE6A94 : 1              
00A8 - 4 Bytes           7FF4AE2BDAB8 : 8              7FF4AFBE6A98 : 8              
00AC - 4 Bytes           7FF4AE2BDABC : 0              7FF4AFBE6A9C : 0              
00B0 - 4 Bytes           7FF4AE2BDAC0 : 1372336        7FF4AFBE6AA0 : 1373776        
00B4 - 4 Bytes           7FF4AE2BDAC4 : 0              7FF4AFBE6AA4 : 0              
00B8 - 4 Bytes           7FF4AE2BDAC8 : 1147387816     7FF4AFBE6AA8 : 1147387816     
00BC - 4 Bytes           7FF4AE2BDACC : 1              7FF4AFBE6AAC : 1              
00C0 - 4 Bytes           7FF4AE2BDAD0 : 1147387816     7FF4AFBE6AB0 : 1147387816     
00C4 - 4 Bytes           7FF4AE2BDAD4 : 1              7FF4AFBE6AB4 : 1              
00C8 - 4 Bytes           7FF4AE2BDAD8 : 65278          7FF4AFBE6AB8 : 65278          
00CC - 4 Bytes           7FF4AE2BDADC : 2147483648     7FF4AFBE6ABC : 2147483648     
00D0 - 4 Bytes           7FF4AE2BDAE0 : 1              7FF4AFBE6AC0 : 1              
00D4 - 4 Bytes           7FF4AE2BDAE4 : 0              7FF4AFBE6AC4 : 0              
00D8 - 4 Bytes           7FF4AE2BDAE8 : 139            7FF4AFBE6AC8 : 848            
00DC - 4 Bytes           7FF4AE2BDAEC : 139            7FF4AFBE6ACC : 1819           
00E0 - 4 Bytes           7FF4AE2BDAF0 : 110            7FF4AFBE6AD0 : 1400           
00E4 - 4 Bytes           7FF4AE2BDAF4 : 0              7FF4AFBE6AD4 : 450            
00E8 - 4 Bytes           7FF4AE2BDAF8 : 0              7FF4AFBE6AD8 : 450            
00EC - 4 Bytes           7FF4AE2BDAFC : 0              7FF4AFBE6ADC : 450            
00F0 - 4 Bytes           7FF4AE2BDB00 : 54             7FF4AFBE6AE0 : 170            
00F4 - 4 Bytes           7FF4AE2BDB04 : 54             7FF4AFBE6AE4 : 170            
00F8 - 4 Bytes           7FF4AE2BDB08 : 50             7FF4AFBE6AE8 : 170            
00FC - 4 Bytes           7FF4AE2BDB0C : 139            7FF4AFBE6AEC : 1819           
0100 - 4 Bytes           7FF4AE2BDB10 : 0              7FF4AFBE6AF0 : 450            
0104 - 4 Bytes           7FF4AE2BDB14 : 50             7FF4AFBE6AF4 : 170            
0108 - 4 Bytes           7FF4AE2BDB18 : 1049360546     7FF4AFBE6AF8 : 1008279322     
010C - 4 Bytes           7FF4AE2BDB1C : 0              7FF4AFBE6AFC : 0              
0110 - 4 Bytes           7FF4AE2BDB20 : 2922109760     7FF4AFBE6B00 : 2948492064     
0114 - 4 Bytes           7FF4AE2BDB24 : 32756          7FF4AFBE6B04 : 32756          
0118 - 4 Bytes           7FF4AE2BDB28 : 0              7FF4AFBE6B08 : 1852795252     
011C - 4 Bytes           7FF4AE2BDB2C : 0              7FF4AFBE6B0C : 1953394499     
0120 - 4 Bytes           7FF4AE2BDB30 : 10             7FF4AFBE6B10 : 5              
0124 - 4 Bytes           7FF4AE2BDB34 : 0              7FF4AFBE6B14 : 0              
0128 - 4 Bytes           7FF4AE2BDB38 : 63             7FF4AFBE6B18 : 63             
012C - 4 Bytes           7FF4AE2BDB3C : 0              7FF4AFBE6B1C : 0              
0130 - 4 Bytes           7FF4AE2BDB40 : 3276899        7FF4AFBE6B20 : 3145827        
0134 - 4 Bytes           7FF4AE2BDB44 : 3276848        7FF4AFBE6B24 : 3145776        
0138 - 4 Bytes           7FF4AE2BDB48 : 6225969        7FF4AFBE6B28 : 48             
013C - 4 Bytes           7FF4AE2BDB4C : 3145776        7FF4AFBE6B2C : 1              
0140 - 4 Bytes           7FF4AE2BDB50 : 3342385        7FF4AFBE6B30 : 48             
0144 - 4 Bytes           7FF4AE2BDB54 : 0              7FF4AFBE6B34 : 0              
0148 - 4 Bytes           7FF4AE2BDB58 : 1098749954     7FF4AFBE6B38 : 1098749954     
014C - 4 Bytes           7FF4AE2BDB5C : 1              7FF4AFBE6B3C : 1              
0150 - 4 Bytes           7FF4AE2BDB60 : 8              7FF4AFBE6B40 : 8              
0154 - 4 Bytes           7FF4AE2BDB64 : 0              7FF4AFBE6B44 : 0              
0158 - 4 Bytes           7FF4AE2BDB68 : 1098417454     7FF4AFBE6B48 : 1098417454     
015C - 4 Bytes           7FF4AE2BDB6C : 1              7FF4AFBE6B4C : 1              
0160 - 4 Bytes           7FF4AE2BDB70 : 1147387816     7FF4AFBE6B50 : 1147387816     
0164 - 4 Bytes           7FF4AE2BDB74 : 1              7FF4AFBE6B54 : 1              
0168 - 4 Bytes           7FF4AE2BDB78 : 3288139481     7FF4AFBE6B58 : 2448679920     
016C - 4 Bytes           7FF4AE2BDB7C : 1065353216     7FF4AFBE6B5C : 32756          
0170 - 4 Bytes           7FF4AE2BDB80 : 2922109424     7FF4AFBE6B60 : 2948491728     
0174 - 4 Bytes           7FF4AE2BDB84 : 32756          7FF4AFBE6B64 : 32756          
0178 - 4 Bytes           7FF4AE2BDB88 : 1073809900     7FF4AFBE6B68 : 1073809900     
017C - 4 Bytes           7FF4AE2BDB8C : 1              7FF4AFBE6B6C : 1              
0180 - 4 Bytes           7FF4AE2BDB90 : 8              7FF4AFBE6B70 : 8              
0184 - 4 Bytes           7FF4AE2BDB94 : 0              7FF4AFBE6B74 : 0              
0188 - 4 Bytes           7FF4AE2BDB98 : 1089044811     7FF4AFBE6B78 : 1089044811     
018C - 4 Bytes           7FF4AE2BDB9C : 1              7FF4AFBE6B7C : 1              
0190 - 4 Bytes           7FF4AE2BDBA0 : 8              7FF4AFBE6B80 : 8              
0194 - 4 Bytes           7FF4AE2BDBA4 : 0              7FF4AFBE6B84 : 0              
